id_elemento,descripcion,activo
01,EQUIPOS,true
02,REACTIVOS DE LABORATORIO,true
03,ARTICULOS DE LABORATORIOS,true
04,INSTRUMENTOS Y APARATOS DE MEDICINA,true
06,REPUESTOS,true
07,COMPRA LOCALES,true
08,ACCESORIOS PARA EQUIPOS,true
